Index,Type,Target/Station,Start Time,End Time,Duration (s),Priority
73,observation,Target_3,2026-02-14T22:25:00,2026-02-14T22:25:30,30.0,9.0
74,observation,Target_5,2026-02-14T23:18:00,2026-02-14T23:18:30,30.0,6.0
75,observation,Target_4,2026-02-14T23:36:00,2026-02-14T23:36:30,30.0,7.0
76,observation,Target_2,2026-02-15T01:40:00,2026-02-15T01:40:30,30.0,8.0
77,observation,Target_2,2026-02-15T03:15:00,2026-02-15T03:15:30,30.0,8.0
78,observation,Target_1,2026-02-15T04:52:00,2026-02-15T04:52:30,30.0,10.0
79,observation,Target_1,2026-02-15T06:27:00,2026-02-15T06:27:30,30.0,10.0
80,observation,Target_3,2026-02-15T07:39:00,2026-02-15T07:39:30,30.0,9.0
81,observation,Target_3,2026-02-15T09:14:00,2026-02-15T09:14:30,30.0,9.0
82,observation,Target_5,2026-02-15T09:57:00,2026-02-15T09:57:30,30.0,6.0
83,observation,Target_4,2026-02-15T11:15:00,2026-02-15T11:15:30,30.0,7.0
84,observation,Target_5,2026-02-15T11:33:00,2026-02-15T11:33:30,30.0,6.0
85,observation,Target_2,2026-02-15T12:24:00,2026-02-15T12:24:30,30.0,8.0
86,observation,Target_4,2026-02-15T12:49:00,2026-02-15T12:49:30,30.0,7.0
87,observation,Target_2,2026-02-15T13:57:00,2026-02-15T13:57:30,30.0,8.0
88,observation,Target_1,2026-02-15T15:35:00,2026-02-15T15:35:30,30.0,10.0
89,observation,Target_1,2026-02-15T17:07:00,2026-02-15T17:07:30,30.0,10.0
90,observation,Target_3,2026-02-15T20:43:00,2026-02-15T20:43:30,30.0,9.0
91,observation,Target_3,2026-02-15T22:17:00,2026-02-15T22:17:30,30.0,9.0
92,observation,Target_5,2026-02-15T23:10:00,2026-02-15T23:10:30,30.0,6.0
93,observation,Target_4,2026-02-15T23:29:00,2026-02-15T23:29:30,30.0,7.0
94,observation,Target_2,2026-02-16T01:33:00,2026-02-16T01:33:30,30.0,8.0
95,observation,Target_2,2026-02-16T03:07:00,2026-02-16T03:07:30,30.0,8.0
96,observation,Target_1,2026-02-16T04:44:00,2026-02-16T04:44:30,30.0,10.0
97,observation,Target_1,2026-02-16T06:19:00,2026-02-16T06:19:30,30.0,10.0
98,observation,Target_3,2026-02-16T07:32:00,2026-02-16T07:32:30,30.0,9.0
99,observation,Target_3,2026-02-16T09:06:00,2026-02-16T09:06:30,30.0,9.0
100,observation,Target_5,2026-02-16T09:50:00,2026-02-16T09:50:30,30.0,6.0
101,observation,Target_4,2026-02-16T11:07:00,2026-02-16T11:07:30,30.0,7.0
102,observation,Target_5,2026-02-16T11:26:00,2026-02-16T11:26:30,30.0,6.0
103,observation,Target_2,2026-02-16T12:17:00,2026-02-16T12:17:30,30.0,8.0
104,observation,Target_4,2026-02-16T12:42:00,2026-02-16T12:42:30,30.0,7.0
105,observation,Target_2,2026-02-16T13:50:00,2026-02-16T13:50:30,30.0,8.0
106,observation,Target_1,2026-02-16T15:28:00,2026-02-16T15:28:30,30.0,10.0
107,observation,Target_1,2026-02-16T17:00:00,2026-02-16T17:00:30,30.0,10.0
